0001. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932000, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0370
0079. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0170
0080. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0370
0081. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0082. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03f0, New Node: 0
0083. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0250
0084. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0170
0085. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0150
0086. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c02d0
0087. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0310
0088. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c02d0
0089. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0150
0090. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0170
0091. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0250
0092. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 0
0093. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0250
0094. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c02d0
0095. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0370
0096. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0170
0097. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0310
0098. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0170
0099. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0370
0100. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c02d0
0101. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0250
0102. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 0
0103. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0450
0104. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0170
0105. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0150
0106. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0370
0107. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c2430
0108. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2430, New Node: 1dd6d5c2310
0109. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2310, New Node: 1dd6d5c2090
0110. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2090, New Node: 1dd6d5c0390
0111. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c23b0
0112. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c23b0, New Node: 1dd6d5c0390
0113. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c1f70
0114. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c1f70, New Node: 1dd6d5c0390
0115. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c2090
0116. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2090, New Node: 1dd6d5c2310
0117. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2310, New Node: 1dd6d5c2430
0118. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2430, New Node: 1dd6d5c0370
0119. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0150
0120. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0170
0121. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0450
0122. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 0
0123. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c02d0
0124. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0310
0125. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0450
0126. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0370
0127. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0250
0128. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0370
0129. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0450
0130. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0310
0131. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c02d0
0132. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 0
0133. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0250
0134. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0450
0135. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0370
0136. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0410
0137. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0150
0138. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0410
0139. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0370
0140. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0450
0141. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c0250
0142. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 0
0143. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0150
0144. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0370
0145. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c02d0
0146. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0170
0147. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c03f0
0148. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0390, New Node: 1dd6d5c0250
0149. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c03d0
0150. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03d0, New Node: 1dd6d5c0370
0151. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0152. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 0
0153. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0250
0154. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c02d0
0155. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0150
0156. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0310
0157. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c03d0
0158. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03d0, New Node: 1dd6d5c0310
0159. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0150
0160. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c02d0
0161. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0250
0162. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 0
0163. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0150
0164. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0250
0165. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c2390
0166. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2390, New Node: 1dd6d5c02d0
0167. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c23b0
0168. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c23b0, New Node: 1dd6d5c0310
0169. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c2070
0170. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2070, New Node: 1dd6d5c0370
0171. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c1f50
0172. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c1f50, New Node: 1dd6d5c0370
0173. Action: PUSH, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c1f70
0174. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c1f70, New Node: 1dd6d5c0370
0175. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c2070
0176. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2070, New Node: 1dd6d5c0310
0177. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c23b0
0178. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c23b0, New Node: 1dd6d5c02d0
0179. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c2390
0180. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c2390, New Node: 1dd6d5c0250
0181. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c0150
0182. Action: POP, Thread: 12080, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 0
0183. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0310
0184. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 1dd6d5c0370
0185. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c02d0
0186. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0150
0187. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c0170
0188. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0170, New Node: 1dd6d5c0150
0189. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0150, New Node: 1dd6d5c02d0
0190. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0370
0191. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0370, New Node: 1dd6d5c0310
0192. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0310, New Node: 0
0193. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 0, New Node: 1dd6d5c0410
0194. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0410, New Node: 1dd6d5c0250
0195. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0250, New Node: 1dd6d5c02d0
0196. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0450
0197. Action: PUSH, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c03d0
0198. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c03d0, New Node: 1dd6d5c0450
0199. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c0450, New Node: 1dd6d5c02d0
0200. Action: POP, Thread: 19172, CAS Success: Yes, Timestamp: 41932015, Old Node: 1dd6d5c02d0, New Node: 1dd6d5c0250
